char,code_aozora,count_aozora,code_news,count_news,code_wikipedia,count_wikipedia
日,65e5,446947.0,65e5,41749.0,65e5,910717.0
年,5e74,250982.0,5e74,24412.0,5e74,1688601.0
月,6708,139398.0,6708,22290.0,6708,784226.0
新,65b0,113709.0,65b0,15957.0,65b0,177203.0
聞,805e,151465.0,805e,12819.0,805e,27977.0
本,672c,257285.0,672c,9996.0,672c,450514.0
人,4eba,1043809.0,4eba,9804.0,4eba,430361.0
大,5927,460676.0,5927,9561.0,5927,550182.0
会,4f1a,123480.0,4f1a,8413.0,4f1a,316866.0
事,4e8b,394548.0,4e8b,8176.0,4e8b,211361.0
時,6642,400604.0,6642,7863.0,6642,253733.0
出,51fa,588684.0,51fa,7836.0,51fa,334669.0
国,56fd,125869.0,56fd,7531.0,56fd,331266.0
行,884c,383787.0,884c,7273.0,884c,296564.0
発,767a,76121.0,767a,6974.0,767a,237606.0
中,4e2d,410177.0,4e2d,6784.0,4e2d,355195.0
報,5831,23061.0,5831,6603.0,5831,62235.0
同,540c,161267.0,540c,6441.0,540c,201356.0
社,793e,62083.0,793e,6432.0,793e,229010.0
者,8005,293410.0,8005,5929.0,8005,201341.0
上,4e0a,408932.0,4e0a,5647.0,4e0a,246858.0
選,9078,15177.0,9078,5571.0,9078,131952.0
後,5f8c,185027.0,5f8c,5324.0,5f8c,245149.0
地,5730,166795.0,5730,5313.0,5730,258953.0
東,6771,65024.0,6771,5112.0,6771,214539.0
市,5e02,32480.0,5e02,4982.0,5e02,245390.0
手,624b,351459.0,624b,4909.0,624b,183665.0
通,901a,145723.0,901a,4742.0,901a,151720.0
売,58f2,32851.0,58f2,4523.0,58f2,87004.0
合,5408,180836.0,5408,4502.0,5408,238253.0
生,751f,343042.0,751f,4453.0,751f,244625.0
経,7d4c,49029.0,7d4c,4381.0,7d4c,93185.0
長,9577,147602.0,9577,4377.0,9577,205015.0
分,5206,422267.0,5206,4351.0,5206,183078.0
朝,671d,70131.0,671d,4241.0,671d,53443.0
間,9593,360112.0,9593,4231.0,9593,192406.0
部,90e8,128574.0,90e8,4168.0,90e8,320457.0
定,5b9a,63702.0,5b9a,4050.0,5b9a,172240.0
開,958b,59891.0,958b,4043.0,958b,187264.0
県,770c,7537.0,770c,4017.0,770c,161817.0
一,4e00,969014.0,4e00,3979.0,4e00,343651.0
場,5834,135484.0,5834,3960.0,5834,246010.0
表,8868,59022.0,8868,3949.0,8868,121864.0
関,95a2,67557.0,95a2,3910.0,95a2,166728.0
回,56de,24943.0,56de,3883.0,56de,137720.0
連,9023,53093.0,9023,3705.0,9023,147095.0
見,898b,644840.0,898b,3626.0,898b,114532.0
前,524d,278977.0,524d,3606.0,524d,164807.0
京,4eac,53306.0,4eac,3604.0,4eac,121779.0
対,5bfe,88739.0,5bfe,3532.0,5bfe,129506.0
高,9ad8,104734.0,9ad8,3451.0,9ad8,196075.0
氏,6c0f,65294.0,6c0f,3370.0,6c0f,27352.0
内,5185,118141.0,5185,3356.0,5185,159049.0
明,660e,156992.0,660e,3301.0,660e,123237.0
死,6b7b,109208.0,6b7b,3278.0,6b7b,51126.0
員,54e1,25539.0,54e1,3267.0,54e1,104918.0
読,8aad,50842.0,8aad,3224.0,8aad,20710.0
決,6c7a,58281.0,6c7a,3205.0,6c7a,66171.0
道,9053,131852.0,9053,3185.0,9053,192622.0
田,7530,120908.0,7530,3152.0,7530,226000.0
信,4fe1,87511.0,4fe1,3126.0,4fe1,74936.0
勝,52dd,39949.0,52dd,3006.0,52dd,97496.0
方,65b9,357970.0,65b9,2995.0,65b9,133510.0
今,4eca,261694.0,4eca,2984.0,4eca,30666.0
台,53f0,41165.0,53f0,2964.0,53f0,65587.0
情,60c5,87115.0,60c5,2942.0,60c5,45355.0
北,5317,35183.0,5317,2918.0,5317,115293.0
業,696d,48329.0,696d,2889.0,696d,180746.0
学,5b66,178180.0,5b66,2862.0,5b66,454522.0
島,5cf6,51158.0,5cf6,2850.0,5cf6,121842.0
入,5165,197921.0,5165,2849.0,5165,157250.0
子,5b50,448009.0,5b50,2825.0,5b50,253311.0
議,8b70,47086.0,8b70,2810.0,8b70,76474.0
産,7523,31762.0,7523,2800.0,7523,62376.0
最,6700,87418.0,6700,2781.0,6700,125068.0
性,6027,84343.0,6027,2779.0,6027,120227.0
毎,6bce,28946.0,6bce,2736.0,6bce,20574.0
全,5168,98406.0,5168,2730.0,5168,138317.0
自,81ea,374194.0,81ea,2703.0,81ea,160410.0
典,5178,8373.0,5178,2702.0,5178,47198.0
山,5c71,185269.0,5c71,2693.0,5c71,200431.0
記,8a18,59515.0,8a18,2623.0,8a18,121126.0
民,6c11,59979.0,6c11,2617.0,6c11,85429.0
風,98a8,120216.0,98a8,2617.0,98a8,38052.0
野,91ce,89145.0,91ce,2616.0,91ce,144445.0
現,73fe,101098.0,73fe,2607.0,73fe,140067.0
当,5f53,130930.0,5f53,2605.0,5f53,133523.0
以,4ee5,102719.0,4ee5,2577.0,4ee5,120611.0
目,76ee,183165.0,76ee,2554.0,76ee,175338.0
所,6240,156154.0,6240,2524.0,6240,171662.0
下,4e0b,267480.0,4e0b,2503.0,4e0b,149632.0
度,5ea6,164698.0,5ea6,2488.0,5ea6,103660.0
疑,7591,28029.0,7591,2479.0,7591,8604.0
警,8b66,25746.0,8b66,2448.0,8b66,28303.0
気,6c17,321277.0,6c17,2407.0,6c17,80108.0
戦,6226,51340.0,6226,2403.0,6226,226227.0
立,7acb,247680.0,7acb,2399.0,7acb,181665.0
海,6d77,66927.0,6d77,2361.0,6d77,112782.0
馬,99ac,88562.0,99ac,2342.0,99ac,53510.0
取,53d6,130886.0,53d6,2327.0,53d6,85378.0
名,540d,131232.0,540d,2316.0,540d,209833.0
容,5bb9,35845.0,5bb9,2316.0,5bb9,30663.0
午,5348,19243.0,5348,2307.0,5348,6813.0
用,7528,101306.0,7528,2296.0,7528,209061.0
相,76f8,119715.0,76f8,2275.0,76f8,60804.0
金,91d1,113896.0,91d1,2237.0,91d1,87249.0
送,9001,33282.0,9001,2217.0,9001,110019.0
歳,6b73,26132.0,6b73,2216.0,6b73,35824.0
法,6cd5,81164.0,6cd5,2179.0,6cd5,118410.0
成,6210,71160.0,6210,2160.0,6210,205850.0
放,653e,35178.0,653e,2160.0,653e,109884.0
代,4ee3,139017.0,4ee3,2149.0,4ee3,224396.0
初,521d,66216.0,521d,2114.0,521d,129575.0
第,7b2c,80317.0,7b2c,2111.0,7b2c,244735.0
都,90fd,36976.0,90fd,2102.0,90fd,84475.0
理,7406,133009.0,7406,2090.0,7406,116257.0
号,53f7,17273.0,53f7,2090.0,53f7,120100.0
球,7403,10591.0,7403,2077.0,7403,52437.0
体,4f53,113031.0,4f53,2030.0,4f53,137596.0
不,4e0d,160355.0,4e0d,2027.0,4e0d,71335.0
線,7dda,30460.0,7dda,2020.0,7dda,141984.0
公,516c,50922.0,516c,2019.0,516c,145797.0
務,52d9,20833.0,52d9,2011.0,52d9,90286.0
約,7d04,23872.0,7d04,2008.0,7d04,62694.0
男,7537,134776.0,7537,2004.0,7537,64608.0
党,515a,12061.0,515a,2001.0,515a,34434.0
受,53d7,51198.0,53d7,1996.0,53d7,83795.0
万,4e07,44601.0,4e07,1983.0,4e07,41823.0
機,6a5f,54472.0,6a5f,1975.0,6a5f,121754.0
車,8eca,75328.0,8eca,1973.0,8eca,137201.0
認,8a8d,25007.0,8a8d,1962.0,8a8d,39482.0
政,653f,42471.0,653f,1952.0,653f,87640.0
動,52d5,118402.0,52d5,1934.0,52d5,158451.0
川,5ddd,86138.0,5ddd,1926.0,5ddd,169598.0
実,5b9f,150597.0,5b9f,1922.0,5b9f,108714.0
予,4e88,23275.0,4e88,1913.0,4e88,38075.0
止,6b62,40997.0,6b62,1904.0,6b62,48403.0
西,897f,47877.0,897f,1893.0,897f,102559.0
阪,962a,9444.0,962a,1891.0,962a,42759.0
調,8abf,53359.0,8abf,1853.0,8abf,47739.0
判,5224,44605.0,5224,1842.0,5224,40136.0
女,5973,319865.0,5973,1839.0,5973,128625.0
共,5171,43709.0,5171,1822.0,5171,85847.0
査,67fb,12589.0,67fb,1814.0,67fb,35502.0
主,4e3b,134903.0,4e3b,1797.0,4e3b,152525.0
投,6295,24800.0,6295,1778.0,6295,34883.0
競,7af6,7028.0,7af6,1766.0,7af6,32924.0
運,904b,47940.0,904b,1765.0,904b,76233.0
小,5c0f,238325.0,5c0f,1762.0,5c0f,161989.0
件,4ef6,32579.0,4ef6,1758.0,4ef6,38997.0
数,6570,64162.0,6570,1754.0,6570,107212.0
知,77e5,240015.0,77e5,1746.0,77e5,77442.0
外,5916,133019.0,5916,1741.0,5916,142157.0
試,8a66,15863.0,8a66,1737.0,8a66,45691.0
源,6e90,23851.0,6e90,1731.0,6e90,21366.0
院,9662,28228.0,9662,1729.0,9662,73473.0
的,7684,227159.0,7684,1718.0,7684,166242.0
区,533a,11434.0,533a,1702.0,533a,101773.0
続,7d9a,36491.0,7d9a,1692.0,7d9a,68382.0
校,6821,37131.0,6821,1680.0,6821,166326.0
近,8fd1,107473.0,8fd1,1678.0,8fd1,63464.0
挙,6319,15775.0,6319,1658.0,6319,33336.0
庁,5e81,3619.0,5e81,1652.0,5e81,17003.0
元,5143,49159.0,5143,1639.0,5143,98436.0
害,5bb3,17118.0,5bb3,1639.0,5bb3,32924.0
位,4f4d,40957.0,4f4d,1635.0,4f4d,104918.0
南,5357,31092.0,5357,1635.0,5357,82423.0
円,5186,29316.0,5186,1630.0,5186,29149.0
期,671f,29775.0,671f,1607.0,671f,103962.0
原,539f,74413.0,539f,1599.0,539f,121315.0
象,8c61,31644.0,8c61,1588.0,8c61,23217.0
作,4f5c,125904.0,4f5c,1571.0,4f5c,299009.0
票,7968,898.0,7968,1565.0,7968,11503.0
結,7d50,76332.0,7d50,1552.0,7d50,79837.0
在,5728,59536.0,5728,1552.0,5728,120474.0
府,5e9c,18282.0,5e9c,1541.0,5e9c,45469.0
優,512a,23639.0,512a,1537.0,512a,75273.0
式,5f0f,29158.0,5f0f,1535.0,5f0f,124106.0
州,5dde,23423.0,5dde,1529.0,5dde,70100.0
点,70b9,44530.0,70b9,1527.0,70b9,83117.0
付,4ed8,58334.0,4ed8,1520.0,4ed8,68161.0
正,6b63,86072.0,6b63,1517.0,6b63,91756.0
力,529b,111685.0,529b,1515.0,529b,118781.0
加,52a0,43198.0,52a0,1511.0,52a0,94303.0
電,96fb,42303.0,96fb,1500.0,96fb,79749.0
済,6e08,22048.0,6e08,1495.0,6e08,29475.0
権,6a29,21916.0,6a29,1495.0,6a29,55892.0
統,7d71,16250.0,7d71,1482.0,7d71,50975.0
総,7dcf,14727.0,7dcf,1465.0,7dcf,57603.0
平,5e73,114126.0,5e73,1453.0,5e73,130691.0
震,9707,12881.0,9707,1449.0,9707,11212.0
来,6765,474847.0,6765,1444.0,6765,82641.0
告,544a,27269.0,544a,1441.0,544a,29417.0
指,6307,41681.0,6307,1438.0,6307,70578.0
亡,4ea1,18367.0,4ea1,1433.0,4ea1,17479.0
際,969b,40800.0,969b,1419.0,969b,73416.0
捕,6355,15734.0,6355,1419.0,6355,14730.0
検,691c,12398.0,691c,1418.0,691c,22312.0
設,8a2d,11258.0,8a2d,1416.0,8a2d,145091.0
意,610f,161426.0,610f,1412.0,610f,61492.0
火,706b,65044.0,706b,1410.0,706b,28072.0
団,56e3,25520.0,56e3,1408.0,56e3,76077.0
首,9996,42392.0,9996,1399.0,9996,23882.0
世,4e16,137741.0,4e16,1382.0,4e16,129358.0
組,7d44,31360.0,7d44,1379.0,7d44,102752.0
家,5bb6,280474.0,5bb6,1377.0,5bb6,151650.0
神,795e,121416.0,795e,1372.0,795e,112310.0
任,4efb,21647.0,4efb,1368.0,4efb,63403.0
確,78ba,31379.0,78ba,1366.0,78ba,26412.0
話,8a71,164791.0,8a71,1360.0,8a71,82251.0
逮,902e,1004.0,902e,1358.0,902e,4587.0
化,5316,64014.0,5316,1353.0,5316,132590.0
協,5354,6779.0,5354,1339.0,5354,43949.0
再,518d,22881.0,518d,1328.0,518d,53289.0
安,5b89,64482.0,5b89,1328.0,5b89,56235.0
教,6559,80500.0,6559,1324.0,6559,121984.0
催,50ac,6103.0,50ac,1318.0,50ac,35553.0
問,554f,81955.0,554f,1318.0,554f,40004.0
能,80fd,42466.0,80fd,1317.0,80fd,84356.0
解,89e3,69306.0,89e3,1308.0,89e3,58382.0
保,4fdd,27450.0,4fdd,1289.0,4fdd,67035.0
町,753a,70116.0,753a,1282.0,753a,126510.0
反,53cd,44829.0,53cd,1277.0,53cd,37720.0
賞,8cde,7912.0,8cde,1259.0,8cde,70135.0
得,5f97,96235.0,5f97,1244.0,5f97,61074.0
持,6301,181590.0,6301,1236.0,6301,76306.0
転,8ee2,24548.0,8ee2,1234.0,8ee2,53826.0
制,5236,20105.0,5236,1223.0,5236,91229.0
伝,4f1d,47315.0,4f1d,1215.0,4f1d,51724.0
水,6c34,116677.0,6c34,1208.0,6c34,96468.0
営,55b6,8323.0,55b6,1206.0,55b6,53667.0
引,5f15,96729.0,5f15,1204.0,5f15,49569.0
品,54c1,49931.0,54c1,1191.0,54c1,94318.0
去,53bb,43206.0,53bb,1183.0,53bb,29635.0
無,7121,170625.0,7121,1180.0,7121,56414.0
活,6d3b,74153.0,6d3b,1177.0,6d3b,78958.0
和,548c,47974.0,548c,1172.0,548c,155964.0
界,754c,48684.0,754c,1171.0,754c,76907.0
強,5f37,56495.0,5f37,1169.0,5f37,47537.0
利,5229,55336.0,5229,1167.0,5229,65036.0
刊,520a,4426.0,520a,1165.0,520a,25119.0
交,4ea4,32404.0,4ea4,1157.0,4ea4,70171.0
多,591a,109915.0,591a,1156.0,591a,102467.0
三,4e09,301561.0,4e09,1156.0,4e09,117481.0
進,9032,49869.0,9032,1155.0,9032,63886.0
殺,6bba,54874.0,6bba,1154.0,6bba,35888.0
計,8a08,36230.0,8a08,1154.0,8a08,58991.0
両,4e21,48922.0,4e21,1148.0,4e21,50275.0
局,5c40,20001.0,5c40,1144.0,5c40,56490.0
岡,5ca1,22196.0,5ca1,1144.0,5ca1,64964.0
要,8981,66904.0,8981,1144.0,8981,93322.0
可,53ef,53152.0,53ef,1142.0,53ef,50603.0
駅,99c5,8523.0,99c5,1141.0,99c5,118183.0
支,652f,42814.0,652f,1137.0,652f,52778.0
被,88ab,13106.0,88ab,1117.0,88ab,15596.0
乗,4e57,42324.0,4e57,1115.0,4e57,40285.0
物,7269,250287.0,7269,1112.0,7269,148802.0
果,679c,47769.0,679c,1109.0,679c,48134.0
陸,9678,12954.0,9678,1099.0,9678,36431.0
故,6545,40248.0,6545,1093.0,6545,16084.0
空,7a7a,84754.0,7a7a,1093.0,7a7a,71119.0
特,7279,41279.0,7279,1092.0,7279,93620.0
終,7d42,40635.0,7d42,1090.0,7d42,64793.0
米,7c73,27251.0,7c73,1084.0,7c73,32486.0
領,9818,17587.0,9818,1083.0,9818,35693.0
宮,5bae,30829.0,5bae,1081.0,5bae,56366.0
村,6751,78851.0,6751,1078.0,6751,123687.0
語,8a9e,77001.0,8a9e,1078.0,8a9e,134613.0
重,91cd,78881.0,91cd,1067.0,91cd,66936.0
急,6025,52560.0,6025,1064.0,6025,31269.0
示,793a,26577.0,793a,1063.0,793a,39713.0
裁,88c1,9569.0,88c1,1063.0,88c1,17499.0
番,756a,49907.0,756a,1061.0,756a,101107.0
省,7701,11181.0,7701,1061.0,7701,27656.0
別,5225,77662.0,5225,1059.0,5225,63643.0
広,5e83,35873.0,5e83,1058.0,5e83,59166.0
画,753b,39310.0,753b,1056.0,753b,135996.0
言,8a00,338782.0,8a00,1055.0,8a00,73931.0
福,798f,25788.0,798f,1052.0,798f,49914.0
参,53c2,31597.0,53c2,1042.0,53c2,83644.0
使,4f7f,54099.0,4f7f,1041.0,4f7f,94520.0
題,984c,52183.0,984c,1032.0,984c,46479.0
次,6b21,120590.0,6b21,1031.0,6b21,69035.0
過,904e,66756.0,904e,1025.0,904e,36246.0
始,59cb,54562.0,59cb,1010.0,59cb,68718.0
店,5e97,37051.0,5e97,1000.0,5e97,66276.0
退,9000,24109.0,9000,999.0,9000,40953.0
向,5411,120100.0,5411,992.0,5411,58980.0
委,59d4,6111.0,59d4,981.0,59d4,31395.0
断,65ad,36468.0,65ad,977.0,65ad,24705.0
打,6253,55749.0,6253,977.0,6253,37564.0
住,4f4f,37832.0,4f4f,975.0,4f4f,43396.0
録,9332,11082.0,9332,971.0,9332,78083.0
文,6587,143645.0,6587,969.0,6587,165587.0
置,7f6e,72482.0,7f6e,969.0,7f6e,79653.0
各,5404,16588.0,5404,965.0,5404,38542.0
書,66f8,151799.0,66f8,960.0,66f8,118323.0
監,76e3,9446.0,76e3,959.0,76e3,53085.0
口,53e3,137667.0,53e3,956.0,53e3,73731.0
補,88dc,6139.0,88dc,951.0,88dc,24718.0
少,5c11,149626.0,5c11,936.0,5c11,56502.0
察,5bdf,27725.0,5bdf,930.0,5bdf,23284.0
先,5148,155805.0,5148,921.0,5148,44640.0
井,4e95,44622.0,4e95,913.0,4e95,69896.0
木,6728,110175.0,6728,913.0,6728,88465.0
込,8fbc,80183.0,8fbc,909.0,8fbc,34755.0
治,6cbb,47692.0,6cbb,907.0,6cbb,93688.0
半,534a,65877.0,534a,904.0,534a,37506.0
状,72b6,30071.0,72b6,902.0,72b6,44384.0
職,8077,22178.0,8077,901.0,8077,30342.0
走,8d70,34903.0,8d70,897.0,8d70,29052.0
有,6709,83333.0,6709,894.0,6709,68882.0
改,6539,26058.0,6539,879.0,6539,62317.0
崎,5d0e,15672.0,5d0e,878.0,5d0e,47328.0
流,6d41,74344.0,6d41,877.0,6d41,59925.0
児,5150,19376.0,5150,874.0,5150,21303.0
集,96c6,45629.0,96c6,868.0,96c6,78703.0
億,5104,2054.0,5104,858.0,5104,9207.0
等,7b49,83776.0,7b49,857.0,7b49,74064.0
提,63d0,15682.0,63d0,857.0,63d0,30422.0
達,9054,84819.0,9054,851.0,9054,41683.0
路,8def,43571.0,8def,847.0,8def,67876.0
鉄,9244,21865.0,9244,844.0,9244,71612.0
官,5b98,31354.0,5b98,839.0,5b98,48383.0
起,8d77,76176.0,8d77,837.0,8d77,40850.0
述,8ff0,18394.0,8ff0,835.0,8ff0,28014.0
視,8996,23427.0,8996,831.0,8996,23916.0
天,5929,98015.0,5929,830.0,5929,73373.0
軍,8ecd,44659.0,8ecd,824.0,8ecd,109582.0
直,76f4,82074.0,76f4,822.0,76f4,52953.0
面,9762,137892.0,9762,814.0,9762,79533.0
秋,79cb,29059.0,79cb,813.0,79cb,24922.0
心,5fc3,268242.0,5fc3,810.0,5fc3,59895.0
客,5ba2,41918.0,5ba2,796.0,5ba2,24936.0
着,7740,81767.0,7740,792.0,7740,43636.0
更,66f4,28670.0,66f4,791.0,66f4,37748.0
施,65bd,5359.0,65bd,786.0,65bd,48020.0
藤,85e4,33581.0,85e4,784.0,85e4,65448.0
落,843d,87504.0,843d,784.0,843d,31727.0
感,611f,136900.0,611f,783.0,611f,30563.0
候,5019,26234.0,5019,782.0,5019,14385.0
速,901f,16427.0,901f,781.0,901f,32706.0
石,77f3,72656.0,77f3,779.0,77f3,61241.0
訴,8a34,8355.0,8a34,778.0,8a34,8799.0
千,5343,55741.0,5343,774.0,5343,39121.0
係,4fc2,32413.0,4fc2,773.0,4fc2,32682.0
工,5de5,36856.0,5de5,773.0,5de5,73976.0
切,5207,107244.0,5207,768.0,5207,33736.0
傷,50b7,18219.0,50b7,765.0,50b7,12815.0
遺,907a,15111.0,907a,755.0,907a,20222.0
他,4ed6,71817.0,4ed6,755.0,4ed6,64278.0
園,5712,19088.0,5712,753.0,5712,55118.0
停,505c,9876.0,505c,753.0,505c,21949.0
収,53ce,10242.0,53ce,750.0,53ce,62718.0
身,8eab,156839.0,8eab,749.0,8eab,87857.0
応,5fdc,25106.0,5fdc,749.0,5fdc,38396.0
督,7763,6743.0,7763,748.0,7763,45647.0
病,75c5,59193.0,75c5,747.0,75c5,27781.0
役,5f79,42224.0,5f79,745.0,5f79,89430.0
求,6c42,27380.0,6c42,742.0,6c42,19563.0
士,58eb,75893.0,58eb,742.0,58eb,67496.0
違,9055,76615.0,9055,741.0,9055,17865.0
影,5f71,39189.0,5f71,735.0,5f71,37161.0
基,57fa,13551.0,57fa,733.0,57fa,55083.0
観,89b3,46050.0,89b3,733.0,89b3,34920.0
常,5e38,68644.0,5e38,733.0,5e38,49115.0
製,88fd,11940.0,88fd,729.0,88fd,58746.0
捜,635c,7376.0,635c,727.0,635c,8318.0
負,8ca0,26442.0,8ca0,724.0,8ca0,20139.0
株,682a,3300.0,682a,723.0,682a,37416.0
格,683c,32874.0,683c,717.0,683c,49406.0
戸,6238,72763.0,6238,717.0,6238,47053.0
食,98df,87472.0,98df,715.0,98df,34977.0
資,8cc7,15186.0,8cc7,706.0,8cc7,36535.0
管,7ba1,9097.0,7ba1,705.0,7ba1,39634.0
派,6d3e,29387.0,6d3e,704.0,6d3e,29856.0
横,6a2a,45113.0,6a2a,700.0,6a2a,30918.0
難,96e3,44061.0,96e3,698.0,96e3,20306.0
松,677e,50959.0,677e,692.0,677e,62034.0
処,51e6,69429.0,51e6,690.0,51e6,16925.0
説,8aac,73943.0,8aac,690.0,8aac,53487.0
親,89aa,99702.0,89aa,687.0,89aa,40364.0
変,5909,84323.0,5909,684.0,5909,74365.0
案,6848,28480.0,6848,681.0,6848,19999.0
武,6b66,44709.0,6b66,677.0,6b66,51835.0
様,69d8,164974.0,69d8,676.0,69d8,54343.0
料,6599,29820.0,6599,675.0,6599,43760.0
含,542b,10930.0,542b,670.0,542b,29067.0
移,79fb,19696.0,79fb,669.0,79fb,55382.0
技,6280,15617.0,6280,668.0,6280,52218.0
命,547d,71440.0,547d,665.0,547d,45632.0
防,9632,10677.0,9632,664.0,9632,36765.0
注,6ce8,30363.0,6ce8,663.0,6ce8,84025.0
災,707d,6507.0,707d,662.0,707d,13650.0
証,8a3c,24854.0,8a3c,662.0,8a3c,21211.0
雨,96e8,39328.0,96e8,661.0,96e8,8122.0
域,57df,5498.0,57df,661.0,57df,51889.0
規,898f,10974.0,898f,657.0,898f,31830.0
与,4e0e,35003.0,4e0e,657.0,4e0e,29908.0
演,6f14,21653.0,6f14,656.0,6f14,130859.0
響,97ff,21446.0,97ff,653.0,97ff,25707.0
消,6d88,37883.0,6d88,651.0,6d88,26816.0
勢,52e2,41900.0,52e2,651.0,52e2,24897.0
側,5074,36054.0,5074,649.0,5074,39369.0
葉,8449,103673.0,8449,645.0,8449,39048.0
屋,5c4b,178394.0,5c4b,643.0,5c4b,61747.0
接,63a5,21503.0,63a5,640.0,63a5,33589.0
援,63f4,3715.0,63f4,638.0,63f4,20625.0
建,5efa,26165.0,5efa,637.0,5efa,57401.0
念,5ff5,52622.0,5ff5,633.0,5ff5,32793.0
港,6e2f,6115.0,6e2f,627.0,6e2f,29976.0
由,7531,53151.0,7531,627.0,7531,50221.0
央,592e,6827.0,592e,624.0,592e,28347.0
航,822a,4565.0,822a,623.0,822a,29156.0
請,8acb,7236.0,8acb,623.0,8acb,10578.0
席,5e2d,18151.0,5e2d,622.0,5e2d,16810.0
盟,76df,3737.0,76df,621.0,76df,16480.0
沖,6c96,5016.0,6c96,620.0,6c96,12786.0
版,7248,10830.0,7248,619.0,7248,88092.0
降,964d,34331.0,964d,618.0,964d,41452.0
宅,5b85,16044.0,5b85,616.0,5b85,15905.0
太,592a,89087.0,592a,616.0,592a,64955.0
撃,6483,14668.0,6483,612.0,6483,54480.0
態,614b,38255.0,614b,612.0,614b,31962.0
波,6ce2,28833.0,6ce2,609.0,6ce2,29288.0
署,7f72,5524.0,7f72,606.0,7f72,10295.0
衆,8846,25042.0,8846,605.0,8846,31058.0
供,4f9b,62514.0,4f9b,600.0,4f9b,31233.0
復,5fa9,15415.0,5fa9,598.0,5fa9,34287.0
土,571f,67124.0,571f,596.0,571f,49679.0
津,6d25,18744.0,6d25,595.0,6d25,36700.0
二,4e8c,389251.0,4e8c,593.0,4e8c,82906.0
列,5217,16232.0,5217,591.0,5217,34704.0
谷,8c37,36004.0,8c37,586.0,8c37,50156.0
除,9664,12194.0,9664,581.0,9664,22033.0
王,738b,41170.0,738b,580.0,738b,80845.0
帯,5e2f,19694.0,5e2f,579.0,5e2f,24413.0
追,8ffd,39305.0,8ffd,578.0,8ffd,29786.0
限,9650,36461.0,9650,576.0,9650,38275.0
増,5897,16139.0,5897,576.0,5897,29097.0
残,6b8b,50317.0,6b8b,575.0,6b8b,29151.0
楽,697d,55942.0,697d,574.0,697d,73101.0
史,53f2,33208.0,53f2,573.0,53f2,74176.0
頭,982d,101576.0,982d,573.0,982d,35279.0
星,661f,20313.0,661f,569.0,661f,40883.0
率,7387,8022.0,7387,567.0,7387,28247.0
考,8003,131215.0,8003,567.0,8003,58717.0
九,4e5d,66363.0,4e5d,564.0,4e5d,21072.0
準,6e96,9651.0,6e96,564.0,6e96,29882.0
幹,5e79,5517.0,5e79,563.0,5e79,11560.0
獲,7372,4474.0,7372,562.0,7372,18537.0
申,7533,66834.0,7533,562.0,7533,8358.0
敗,6557,12123.0,6557,561.0,6557,29985.0
護,8b77,17856.0,8b77,559.0,8b77,31378.0
思,601d,435576.0,601d,555.0,601d,34404.0
例,4f8b,43880.0,4f8b,555.0,4f8b,29091.0
浜,6d5c,12690.0,6d5c,554.0,6d5c,30031.0
配,914d,40866.0,914d,553.0,914d,49836.0
型,578b,12706.0,578b,549.0,578b,62631.0
館,9928,19469.0,9928,548.0,9928,71843.0
橋,6a4b,30288.0,6a4b,545.0,6a4b,51481.0
模,6a21,12050.0,6a21,541.0,6a21,20136.0
突,7a81,52258.0,7a81,541.0,7a81,18211.0
販,8ca9,1009.0,8ca9,537.0,8ca9,20378.0
破,7834,27245.0,7834,537.0,7834,25377.0
策,7b56,10284.0,7b56,535.0,7b56,18781.0
古,53e4,70475.0,53e4,534.0,53e4,60068.0
備,5099,16525.0,5099,533.0,5099,50330.0
術,8853,48289.0,8853,532.0,8853,62240.0
造,9020,36106.0,9020,529.0,9020,59431.0
商,5546,23517.0,5546,528.0,5546,34230.0
減,6e1b,11944.0,6e1b,525.0,6e1b,15084.0
測,6e2c,7144.0,6e2c,523.0,6e2c,13149.0
声,58f0,114412.0,58f0,523.0,58f0,43772.0
沢,6ca2,28455.0,6ca2,523.0,6ca2,33835.0
奈,5948,8260.0,5948,523.0,5948,28181.0
研,7814,24792.0,7814,517.0,7814,62530.0
失,5931,44203.0,5931,516.0,5931,26508.0
構,69cb,27568.0,69cb,515.0,69cb,45769.0
形,5f62,72189.0,5f62,515.0,5f62,79043.0
洋,6d0b,32163.0,6d0b,511.0,6d0b,31215.0
染,67d3,14816.0,67d3,509.0,67d3,12082.0
爆,7206,6320.0,7206,505.0,7206,15060.0
未,672a,24388.0,672a,505.0,672a,24246.0
登,767b,22291.0,767b,502.0,767b,68503.0
周,5468,20095.0,5468,502.0,5468,39280.0
装,88c5,17083.0,88c5,501.0,88c5,47408.0
帰,5e30,94418.0,5e30,498.0,5e30,24897.0
験,9a13,23233.0,9a13,497.0,9a13,29799.0
審,5be9,6640.0,5be9,496.0,5be9,11671.0
程,7a0b,48907.0,7a0b,495.0,7a0b,25294.0
英,82f1,19030.0,82f1,495.0,82f1,67261.0
紙,7d19,58148.0,7d19,494.0,7d19,14743.0
銀,9280,25596.0,9280,493.0,9280,24569.0
頃,9803,65977.0,9803,493.0,9803,21759.0
義,7fa9,71041.0,7fa9,492.0,7fa9,58531.0
門,9580,79375.0,9580,491.0,9580,55108.0
郎,90ce,157560.0,90ce,491.0,90ce,65702.0
了,4e86,14500.0,4e86,487.0,4e86,27445.0
